Temp,DO,pH,BOD,NITRATE_N_NITRITE_N,WQI
31.6,7.3,7.2,1.2,1.23,9.2137
30.8,7.1,6.7,1.4,0.26,8.8007
30.2,7.4,6.9,0.8,0,8.6672
29.7,4.1,6.7,2,1,7.9878
29.1,2.7,6.4,2.2,0.77,7.4256
31.6,5.9,6.6,2.7,1,8.9389
30.3,1.3,6.6,2.9,0,7.2621
31.6,4.9,6.5,2.8,1.05,8.6594
26.7,7.15,7.8,14,0,10.6263
27.6,6.5,8.6,21.8,4,12.8688
29.5,7.03,8.1,29.5,3.23,14.5512
28,7.8,8,5.5,2,9.8284
29.3,6.4,8,4.8,2,9.5147
27.8,7.2,7.7,16.3,6,12.2527
25,7.3,8.5,1,1,8.2639
26,7.1,8.5,1,1,8.3753
28,5.5,8.4,1,0,8.0644
28.3,6.8,8,13,1,10.8166
28.5,7.1,7.5,21,1,12.3318
29,5.7,7.6,11,6.78,11.1513
31,4.2,8.7,0.3,0,7.966
27,3.2,8.4,1,0,8.3821
26,3.4,8.4,1,0,8.2707
25.3,4.7,7.8,21,0,12.1352
28.4,3.5,8.1,9.5,0,9.0812
26,5,7.6,8,0,8.7356
28,4.4,8,1.7,0,7.8034
29,5.9,7.8,7.3,6.45,10.50202
27.8,2.4,8,6.6,6.22,9.1592
26,8.3,8.3,2.1,3,9.2272
25.7,9.1,8,5.5,1.06,9.6547
25,5.8,7.7,1.9,12,9.7148
22,7.6,7.5,2,1.92,7.9992
22,6.8,7.5,2.1,2,7.8009
29.2,7.5,7.4,3.1,5,9.8952
27,7.6,7.9,6.4,17,12.2929
26.1,8.2,8.3,2.3,3,9.2525
26.8,8.2,8.2,2.2,2,9.1641
25.4,7.1,8.1,2.2,4,8.9311
26.7,7.3,7.9,1.8,6.66,9.5477
22.5,4.4,7.7,4.4,12,9.3541
22.3,7.3,7.9,7.6,2,9.093
22.5,7.4,7.7,5,3,8.8043
22.1,6.9,7.5,4.3,2,8.2558
28,6.9,7.4,2.3,6,9.5403
28.2,6.9,7.3,18.6,1,11.7398
26.5,6.3,7.2,10.3,1,9.7173
23.8,5.3,8.2,1.5,1,7.5222
23.9,4.6,8.4,3.2,1,7.6909
19.9,4.7,8.2,1.5,1,6.6903
24.3,5,8.4,1.2,1,7.5017
23.2,8.4,8.3,1,2,8.4087
21.7,5.7,8,1.1,1,7.1709
26.1,4.5,7.9,1.5,1,7.6249
24.4,5,8,1.9,2,7.7439
30.3,5.1,7.9,0.9,1.08,8.4093
21.3,5,8.6,1.2,2.29,7.2506
21.2,4.9,8.6,1.1,1,6.9676
23.2,4.4,8.1,1.2,1,7.0872
22.9,5.6,8.4,1.1,3,7.7583
22.9,5.8,8.5,1.2,3,7.8531
28.7,4.1,7.9,2.3,2,8.2672
24.3,3.5,8.9,6.5,1,8.1485
